LSOA11CD,total_length_meters_2011,length_meters_2020
E01001837,353.4,37.7
E01001839,12.4,86.6
E01001841,2.8,1488.0
E01001842,21.0,60.4
E01001843,28.4,57.0
E01001844,489.1,1106.8
E01001845,342.3,967.7
E01001846,1624.6,4979.9
E01001847,220.8,184.9
E01001848,3.9,748.4
E01001849,1378.1,3821.4
E01001850,117.6,767.7
E01001851,343.4,43.2
E01001852,182.4,187.8
E01001854,126.3,8.5
E01001855,82.2,0
E01001857,113.4,175.0
E01001860,18.5,259.7
E01001861,10.6,72.9
E01001866,116.8,147.0
E01001867,398.0,415.8
E01001869,99.8,163.2
E01001871,289.1,284.4
E01001874,1241.8,3693.4
E01001875,530.6,596.0
E01001876,2091.3,1381.9
E01001877,1680.3,2542.2
E01001879,269.4,228.2
E01001880,32.3,6.7
E01001882,405.3,411.1
E01001883,218.8,232.3
E01001884,293.5,208.4
E01001885,297.8,244.0
E01001886,314.7,380.0
E01001887,89.4,149.0
E01001888,18.2,203.9
E01001891,38.5,601.0
E01001893,134.6,580.4
E01001894,285.9,1791.8
E01001898,383.9,656.8
E01001899,139.4,547.6
E01001900,203.8,201.9
E01001901,23.4,22.5
E01001902,231.2,230.9
E01001903,627.8,419.5
E01001907,12.4,10.1
E01001909,22.5,52.6
E01001914,12.2,14.0
E01001915,1144.3,2063.6
E01001917,83.9,155.5
E01001919,3.4,7.1
E01001920,595.4,722.7
E01001921,31.1,198.3
E01001922,476.2,481.8
E01001923,27.6,145.0
E01001925,200.9,211.1
E01001926,67.1,335.8
E01001928,17.1,49.4
E01001934,273.4,276.8
E01001937,120.4,492.9
E01001938,170.2,316.2
E01001941,4.3,433.9
E01001943,556.4,2864.1
E01001948,0.1,0
E01001949,17.7,10.7
E01001950,5.0,6.4
E01001952,9.7,325.8
E01001953,55.6,18.9
E01001955,16.6,301.7
E01001959,22.7,723.0
E01001962,2.4,167.2
E01001963,329.3,343.2
E01001964,13.0,401.5
E01001966,286.2,827.9
E01001967,0.4,0.3
E01001970,4.4,25.9
E01001972,573.0,1355.0
E01001976,70.3,32.3
E01001979,111.3,274.0
E01001980,175.4,53.8
E01001982,373.2,14.0
E01001984,802.9,836.2
E01001987,402.2,116.9
E01002002,886.2,5682.8
E01002005,176.4,212.5
E01002007,41.7,34.9
E01002008,134.0,0
E01002009,620.5,0
E01002010,188.0,0
E01002013,32.4,306.8
E01002014,69.7,75.1
E01002015,9.2,548.4
E01002016,111.3,267.5
E01002017,35.5,31.6
E01002018,32.0,35.1
E01002020,235.7,853.1
E01002021,51.5,51.5
E01002022,97.4,94.6
E01002023,377.1,412.8
E01002024,3.5,506.7
E01002029,361.2,864.4
E01002030,87.8,207.7
E01002037,1117.9,2507.2
E01002052,527.1,903.6
E01002057,10.7,124.8
E01002059,2.4,9.0
E01002062,406.8,591.2
E01002063,294.1,312.0
E01002064,141.8,223.3
E01002065,293.6,905.0
E01002066,207.3,613.6
E01002067,1.8,13.7
E01002068,634.7,993.6
E01002075,172.8,1363.8
E01002078,1162.0,1923.4
E01002080,1166.8,3103.5
E01002081,45.1,497.8
E01002084,42.6,2245.0
E01002085,2.7,58.6
E01002098,284.1,531.9
E01002109,41.5,354.0
E01002112,283.6,439.5
E01002113,760.1,796.5
E01002114,907.5,1199.8
E01002115,544.8,981.6
E01002118,1245.5,1327.0
E01002119,90.7,0
E01002126,36.4,156.5
E01002127,299.9,526.0
E01002128,69.4,206.7
E01002129,240.8,667.7
E01002131,34.6,81.5
E01002134,194.6,201.1
E01002135,227.3,535.5
E01002136,26.6,27.1
E01002137,345.1,307.5
E01002138,406.0,455.8
E01002144,53.1,199.0
E01002147,13.6,18.7
E01002148,85.7,276.0
E01002157,404.0,835.3
E01002158,446.4,0
E01002160,83.9,318.0
E01002172,414.5,838.4
E01002176,257.8,245.7
E01002179,73.5,406.1
E01002180,46.6,692.6
E01002190,758.2,752.7
E01002204,10.9,641.6
E01002209,571.2,708.3
E01002212,56.7,929.5
E01002213,309.8,500.4
E01002218,37.8,88.1
E01002220,110.9,108.2
E01002221,69.3,239.5
E01002222,12.0,15.9
E01002226,1378.9,1307.8
E01002228,498.4,498.4
E01002229,112.7,153.3
E01002236,68.5,68.5
E01002237,107.3,152.3
E01002259,221.0,1258.3
E01002276,251.0,251.3
E01002278,246.5,252.5
E01002281,405.2,698.7
E01002282,221.3,222.4
E01002283,242.9,806.9
E01002293,35.7,155.0
E01002294,309.7,821.8
E01002298,344.9,339.9
E01002299,541.8,545.6
E01002304,30.3,1262.9
E01002305,393.5,1497.9
E01002344,2440.0,7861.7
E01002348,824.6,2521.0
E01002370,127.7,2607.7
E01002374,2355.8,2604.0
E01002385,1031.5,82.1
E01002392,11.3,10.0
E01002393,139.5,139.9
E01002395,72.6,75.8
E01002396,612.1,1247.0
E01002397,794.8,1180.7
E01002411,262.1,260.1
E01002414,6.4,1559.9
E01002424,414.0,414.0
E01002428,1025.2,1048.0
E01002434,397.7,1751.0
E01002438,2888.1,3200.0
E01002441,3546.4,6334.5
E01002442,2967.4,2970.3
E01002443,1663.0,6594.7
E01002444,3707.7,13494.1
E01002446,92.1,92.1
E01002447,1068.7,3113.3
E01002450,178.3,476.5
E01002452,491.1,556.3
E01002454,1857.9,1858.4
E01002458,53.6,53.6
E01002460,130.0,251.8
E01002461,3131.2,4755.1
E01002462,366.5,366.5
E01002463,107.7,386.2
E01002472,164.2,164.2
E01002473,1426.8,3833.6
E01002474,233.0,670.4
E01002479,172.4,1369.8
E01002495,32.8,37.9
E01002499,3068.0,2783.5
E01002505,1837.0,2746.1
E01002507,1223.0,1246.5
E01002508,1108.8,1132.0
E01002512,118.8,2224.5
E01002513,70.4,704.4
E01002514,202.6,315.1
E01002518,193.8,189.2
E01002519,624.2,612.9
E01002520,987.8,991.9
E01002521,1883.7,1993.5
E01002532,35.6,397.1
E01002536,278.2,278.3
E01002537,1169.9,1170.5
E01002538,1841.8,1906.0
E01002540,219.0,224.2
E01002541,159.7,717.6
E01002543,479.6,827.7
E01002545,153.2,222.1
E01002546,177.7,477.3
E01002547,85.7,620.8
E01002548,20.2,822.9
E01002554,792.6,1072.4
E01002559,2232.3,15499.4
E01002560,30.2,111.0
E01002561,418.7,402.8
E01002562,482.0,921.3
E01002563,997.6,1548.6
E01002564,406.2,496.0
E01002565,1485.3,1978.8
E01002566,1618.9,2794.9
E01002568,416.1,849.9
E01002569,59.5,1109.3
E01002570,0.9,2.2
E01002571,54.0,569.5
